name,price,pack,upc,expiry,notes,listed,image
"Origineaux 170g (Skittles Original)",1.85,"PK-36","058496469023","20 Juillet 2026",,,redskittles.jpeg.webp
"Skittles Baies",1.85,"PK-36","058496469009","Août 2026",,,purpleskittles.png
"Sesame Snaps 35g",0.40,"PK-36","872590000155","Jan 2027",,,sesamesnaps.jpg
"Menthe Glacée 34g",1.65,"PK-24","064900409417","Nov 2025","PJC #595505",,blueexcelmints.jpg
"Menthes Verte 34g",1.65,"PK-12x8=96","064900409424","Sept 2025","PJC #595504",,greenexcelmints.jpg
"Excel Dis PQT 27 (9 Menthe Verte, 6 Polaire, 6 Menthe, 6 Balloune Blanche)",0.72,"PQT-27","", "JUIN 2026","Prepack: 9 Menthe Verte (UPC 0-649 / PJC #968360), 6 Menthe Polaire (UPC 0-649 / PJC #830681), 6 Menthe (UPC 0-649 / PJC #968362), 6 Balloune Blanche (UPC 06490 / PJC #500818)","yes",
"KitKat 4 x 45g",3.50,"PK-24","059800218627","Mai 2026",,,
"Aero 4 x 49g",3.50,"PK-24","059800094115","Juin 2026",,,
"Mars 4 x 52g",3.50,"PK-24","058496328740","Août 2026",,,
"Snickers 4 x 52g",3.50,"PK-24","058496422417","Juin 2026",,,
"KitKat Chunky 4 x 49g",3.50,"PK-24","059800201742","Juin 2026",,,
"Playtex Clean Confort",3.95,"PK-12","078300132967",,"PJC #469742",,
"Tampax Regulier",3.65,"PK-12","073010004542",,"listé",yes,
"Tampax Jumbo 54 Tampons",6.95,"PK-6","073010006225",,,,
"Tampax Pearl Super+ x18",3.65,"PK-6","073010479050",,"PJC #011174",,tampaxpearlsuper.jpg
"Kotex Ultra Mince",4.95,"PK-6","036000536348",,,,
"Sensodyne dents sensibles 75ml",3.35,"12","060815030197",,,,
"Sensodyne Pro-Émail enfants 75ml",2.85,"12","006815403618",,,,
"Sensodyne Pronamel Kids 75ml",2.85,"12","006815030326",,,,
"Sensibilité gencives & émail 75ml",3.50,"12","060815403120",,,,
"NIVEA 75ml",1.85,"PK-10","40060729",,,,
"Vaseline Cacao Radieux 600ml",4.95,"PK-12","065656917126",,,,
"Vaseline Original 375g",3.95,"PK-24","065656912886",,,,
"Colgate Total blanchissant 170g",2.95,"PK-40","058000142176","Juillet 2026",,,
"Colgate Optic Blanc 73ml",2.75,"PK-24","035000972620","Juillet 2026",,,
"3D White avancé dentifrice",2.75,"PK-24","030772053812","JUINE 206","expiry text printed wrong",yes,
"Baume lèvres Essentiel duo",2.85,"PK-24","056594850590",,"PJC #853112",,
"Baume lèvres Hydro Soins duo",2.85,"PK-24","072140000073",,"PJC #588750",,
"Banana Boat Kids FPS 50+ 226g",5.00,"PK-24","079656026078","Août 2026","PJC #279097",,
"Dove Men+Care",3.25,"PK-12","079400457851",,"listé",yes,
"Lotion corporelle douceur 48h 200ml",2.95,"PK-12","0565940002791",,,,
"Setaphil lotion 50ml",9.50,"PK-12","772618070507","Juin 2027","Détail 19.99",yes,
"Nettoyant pour le corps doux 354ml",2.75,"PK-12","037000919810",,,,
"Kleenex Ultra Soft x10",2.35,"PK-15","5029053563909",,,,
"Kleenex Everyday x8",1.95,"PK-18","5029053560762",,,,
"Mouchoirs Moyen",0.75,"PK-72","058000308763",,"PJC #011355",,
"Listerine 7.7ml",2.75,"PK-25","012547339017",,,,
"Solution de rinçage oral 12h",1.95,"PK-72","693029200070",,,,
"Tiger Balm 10g",2.25,"PK-10","845530001093",,,,
"Q-Tip en Bois x500",1.95,"PK-24","888168103913",,,,
"Q-Tip 500 (Cotton Swabs)",3.15,"PK-24","065656913715",,,,
"Huggies Pure 56 lingettes",1.75,"PK-12","5029053550039",,,,
"Huggies Soft Skin 56 lingettes",1.75,"PK-12","5029053550206",,,,
"Produit Moyenne (Hygiène)",2.25,"PK-24","300410109929",,,,
"Febreze Unstopables Touch 800ml",4.75,"PK-6","037000873501",,,,
"Produit ménager x24",2.15,"PQT-24","060549000808",,,,
"Parapluie Assorti",7.50,"PK-12","063627099338",,,,
"Set de couteaux Starfrit",6.50,"PK-6","069858938972",,,,
"Carnet 192 pages (pierre)",2.00,"PK-24","826750067038",,,,
"Cure-dents ronds",0.68,"PK-25","625659803507",,,,
"Scotch-Brite éponge x1",0.85,"PK-21","051131501911",,,,
"BIC Briquet x2",2.25,"PK-36","070330602687",,,,
"BIC Briquet (bougies)",2.00,"PK-36","070330658660",,,,
"Éponges à laver intenses x6",2.50,"PK-24","858584007348",,,,
"Tampons à laver cuivre x3",0.85,"PK-48","851112007537",,,,
"Éponge cellulose x4",1.35,"PK-24","858584007355",,,,
"Éponge cellulose longue x2",1.35,"PK-48","858584007300",,,,
"Mini lave-vaisselle carafe",1.40,"PK-24","061642103122",,,,
"Tapis de yoga",6.85,"PK-12","773392122758",,,,
"Chiffon microfibre cuisine",1.50,"PK-48","85111007520",,,,
"Socquettes homme noir 10-13 x10",3.00,"PK-18","628722070950",,,,
"Socquettes homme assorties 10-13 x10",3.00,"PK-18","628722070967",,,,
"Femme coupe basse assorties 9-11",3.00,"PK-18","628722124073",,,,
"Femme chaussettes basses assorties 9-11",3.00,"PK-18","628722070998",,,,
"Femme chaussettes basses noir 9-11",3.00,"PK-18","628722070981",,,,
"Athletic femme 9-11",2.50,"PK-24","628722601073",,,,
"Athletic homme x6 blanc 10-13",2.25,"PK-24","628722924277",,,,
"Kodiak Timberlane homme x2",2.85,"PK-24","628212125511",,,,
"Realtree x6 chaussettes homme 7-11",4.75,"PK-24","628722932425",,,,
"Polar Paws thermique homme x1",2.00,"PK-60","836349000117",,,,
"Polar Paws noir homme x1",1.75,"PK-60","086349001091",,,,
"Sherpa Polar Paws homme 6-10",1.75,"PK-36","836349000186",,,,
"Dickies femmes x2",2.60,"PK-24","628722951266",,,,
"Dickies homme x2 6-12",2.60,"PK-24","628722953147",,,,
"Dewalt chaussettes bleu/noir laine léger",4.75,"PK-48","628722954717",,,,
"Polar Paws femme 6-10",1.75,"PK-36","836349001176",,,,
"Oreiller de voyage",6.70,"PK-12","773392134591",,,,
"Serviettes de cuisine coton assorties",1.85,"PK-96","772228806749",,,,
